Exit Sensor	Nozzle Fire	RPM
2:31:08.731 PM 6/3/2016	2:31:10.785 PM 6/3/2016	3.491620
2:31:08.731 PM 6/3/2016	2:31:10.785 PM 6/3/2016	3.491620
2:34:05.090 PM 6/3/2016	2:34:07.175 PM 6/3/2016	3.450259
2:34:31.835 PM 6/3/2016	2:34:33.915 PM 6/3/2016	3.458213
2:35:04.267 PM 6/3/2016	2:35:06.335 PM 6/3/2016	3.468409
2:35:36.677 PM 6/3/2016	2:35:38.745 PM 6/3/2016	3.475038
2:35:58.264 PM 6/3/2016	2:36:00.335 PM 6/3/2016	3.473227
2:36:25.022 PM 6/3/2016	2:36:27.095 PM 6/3/2016	3.459210
2:36:54.609 PM 6/3/2016	2:36:56.675 PM 6/3/2016	3.473629
2:37:35.641 PM 6/3/2016	2:37:37.705 PM 6/3/2016	3.480077
2:38:04.861 PM 6/3/2016	2:38:06.905 PM 6/3/2016	3.514115
2:38:31.956 PM 6/3/2016	2:38:34.005 PM 6/3/2016	3.499358
2:39:02.092 PM 6/3/2016	2:39:04.155 PM 6/3/2016	3.481692
2:39:34.379 PM 6/3/2016	2:39:36.445 PM 6/3/2016	3.483714
2:40:06.575 PM 6/3/2016	2:40:08.625 PM 6/3/2016	3.498746
2:40:36.817 PM 6/3/2016	2:40:38.885 PM 6/3/2016	3.470013
2:41:06.316 PM 6/3/2016	2:41:08.385 PM 6/3/2016	3.477253
2:41:35.765 PM 6/3/2016	2:41:37.825 PM 6/3/2016	3.482500
2:42:05.104 PM 6/3/2016	2:42:07.155 PM 6/3/2016	3.496300
2:42:35.004 PM 6/3/2016	2:42:37.045 PM 6/3/2016	3.515556
2:43:04.756 PM 6/3/2016	2:43:06.785 PM 6/3/2016	3.534402
2:43:31.611 PM 6/3/2016	2:43:33.635 PM 6/3/2016	3.542958
2:44:01.354 PM 6/3/2016	2:44:03.395 PM 6/3/2016	3.523401
2:44:34.144 PM 6/3/2016	2:44:36.195 PM 6/3/2016	3.506721
2:45:06.313 PM 6/3/2016	2:45:08.365 PM 6/3/2016	3.500583
2:45:36.467 PM 6/3/2016	2:45:38.535 PM 6/3/2016	3.478059
2:46:05.956 PM 6/3/2016	2:46:08.025 PM 6/3/2016	3.471218
2:46:35.464 PM 6/3/2016	2:46:37.535 PM 6/3/2016	3.472423
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
2:46:49.104 PM 6/3/2016	2:46:51.175 PM 6/3/2016	3.476850
