Exit Sensor	Nozzle Fire	RPM
2:53:17.585 PM 6/9/2016	2:53:19.678 PM 6/9/2016	3.426026
2:53:49.792 PM 6/9/2016	2:53:51.888 PM 6/9/2016	3.419388
2:54:16.992 PM 6/9/2016	2:54:19.098 PM 6/9/2016	3.413940
2:54:51.946 PM 6/9/2016	2:54:54.038 PM 6/9/2016	3.427788
2:55:21.700 PM 6/9/2016	2:55:23.778 PM 6/9/2016	3.454430
2:55:53.590 PM 6/9/2016	2:55:55.678 PM 6/9/2016	3.438790
2:56:23.285 PM 6/9/2016	2:56:25.368 PM 6/9/2016	3.454828
2:56:52.851 PM 6/9/2016	2:56:54.928 PM 6/9/2016	3.467406
2:57:20.294 PM 6/9/2016	2:57:22.368 PM 6/9/2016	3.457416
2:57:47.189 PM 6/9/2016	2:57:49.278 PM 6/9/2016	3.433869
2:58:14.077 PM 6/9/2016	2:58:16.168 PM 6/9/2016	3.442538
2:58:48.878 PM 6/9/2016	2:58:50.958 PM 6/9/2016	3.457018
2:59:24.397 PM 6/9/2016	2:59:26.478 PM 6/9/2016	3.446691
2:59:54.122 PM 6/9/2016	2:59:56.208 PM 6/9/2016	3.445306
3:00:23.768 PM 6/9/2016	3:00:25.848 PM 6/9/2016	3.453436
3:00:51.243 PM 6/9/2016	3:00:53.318 PM 6/9/2016	3.457615
3:01:22.936 PM 6/9/2016	3:01:25.008 PM 6/9/2016	3.469612
3:01:47.497 PM 6/9/2016	3:01:49.568 PM 6/9/2016	3.461605
3:02:16.935 PM 6/9/2016	3:02:18.998 PM 6/9/2016	3.486345
3:02:36.318 PM 6/9/2016	3:02:38.378 PM 6/9/2016	3.482298
3:03:22.244 PM 6/9/2016	3:03:24.298 PM 6/9/2016	3.492840
3:03:54.340 PM 6/9/2016	3:03:56.388 PM 6/9/2016	3.514527
3:04:18.556 PM 6/9/2016	3:04:20.608 PM 6/9/2016	3.508156
3:04:18.556 PM 6/9/2016	3:04:20.608 PM 6/9/2016	3.508156
3:05:23.605 PM 6/9/2016	3:05:25.668 PM 6/9/2016	3.481692
3:05:42.870 PM 6/9/2016	3:05:44.918 PM 6/9/2016	3.505082
3:06:20.106 PM 6/9/2016	3:06:22.168 PM 6/9/2016	3.489386
3:06:27.980 PM 6/9/2016	3:06:30.038 PM 6/9/2016	3.488372
3:06:27.980 PM 6/9/2016	3:06:30.038 PM 6/9/2016	3.488372
3:06:27.980 PM 6/9/2016	3:06:30.038 PM 6/9/2016	3.488372
3:06:27.980 PM 6/9/2016	3:06:30.038 PM 6/9/2016	3.488372
3:06:27.980 PM 6/9/2016	3:06:30.038 PM 6/9/2016	3.488372
3:08:59.546 PM 6/9/2016	3:09:01.618 PM 6/9/2016	3.476246
3:08:59.546 PM 6/9/2016	3:09:01.618 PM 6/9/2016	3.476246
3:10:11.893 PM 6/9/2016	3:10:13.948 PM 6/9/2016	3.494467
3:10:54.726 PM 6/9/2016	3:10:56.788 PM 6/9/2016	3.483511
3:11:14.085 PM 6/9/2016	3:11:16.148 PM 6/9/2016	3.487358
3:11:14.085 PM 6/9/2016	3:11:16.148 PM 6/9/2016	3.487358
3:11:14.085 PM 6/9/2016	3:11:16.148 PM 6/9/2016	3.487358
3:11:14.085 PM 6/9/2016	3:11:16.148 PM 6/9/2016	3.487358
3:13:22.919 PM 6/9/2016	3:13:25.008 PM 6/9/2016	3.437017
3:13:51.791 PM 6/9/2016	3:13:53.868 PM 6/9/2016	3.468208
3:14:06.380 PM 6/9/2016	3:14:08.478 PM 6/9/2016	3.433083
3:14:06.380 PM 6/9/2016	3:14:08.478 PM 6/9/2016	3.433083
